Id	Prompt	Wavfile	Accept
3570	Frag: Zimmer für 1 Woche	3570.wav	reject
3571	Frag: Zimmer für 1 Woche	3571.wav	accept
3572	Frag: Twinzimmer	3572.wav	accept
3573	Sag: Ich möchte mit Kreditkarte bezahlen	3573.wav	accept
3574	Frag: Gibt es ein Fitnessstudio?	3574.wav	reject
3575	Frag: 3 Musical-Tickets	3575.wav	reject
3576	Sag: Ich möchte am Montagabend gehen	3576.wav	accept
3577	Sag: Ich möchte am Montagabend gehen	3577.wav	accept
3579	Frag: 3 Tickets für König der Löwen	3579.wav	reject
3580	Sag: Ich möchte vorne sitzen	3580.wav	reject
3581	Sag: Ich möchte vorne sitzen	3581.wav	reject
3582	Sag: Ich möchte vorne sitzen	3582.wav	reject
3583	Frag: Tickets für die National Gallery	3583.wav	reject
3584	Frag: Tickets für die National Gallery	3584.wav	reject
3587	Frag: ein Ticket zum Piccadilly Circus	3587.wav	reject
3588	Sag: Ich möchte mit Visa bezahlen	3588.wav	accept
3589	Sag: Ich möchte mit Visa bezahlen	3589.wav	accept
3590	Frag: ein Ticket zum Green Park	3590.wav	accept
3592	Sag: Ich möchte mit Visa bezahlen	3592.wav	reject
3593	Sag: Ich möchte mit Pfund bezahlen	3593.wav	reject
3594	Sag: Ich möchte mit Pfund bezahlen	3594.wav	reject
3595	Sag: Ich möchte mit Pfund bezahlen	3595.wav	reject
3596	Frag: ein Ticket nach Notting Hill	3596.wav	reject
3597	Sag: Ich möchte mit Mastercard bezahlen	3597.wav	reject
3598	Sag: Ich möchte mit Mastercard bezahlen	3598.wav	accept
3599	Sag: Ich möchte mit Dollars bezahlen	3599.wav	reject
3602	Frag: eine Cola	3602.wav	reject
3604	Frag: ein Steak	3604.wav	accept
3605	Frag: mein Steak rare	3605.wav	accept
3606	Frag: mein Steak rare	3606.wav	accept
3608	Frag: Pilze	3608.wav	reject
3610	Frag: Ich möchte die Dessertkarte	3610.wav	reject
3611	Sag: Mir geht es gut	3611.wav	reject
3618	Frag: 2 Tickets nach London	3618.wav	accept
3619	Frag: 2 Tickets nach London	3619.wav	accept
3620	Sag: Ich möchte um 21 Uhr morgen abreisen	3620.wav	accept
3621	Sag: Ich heisse James	3621.wav	reject
3622	Sag: Ich bin aus der Türkei	3622.wav	accept
3623	Frag: 2 Musical-Tickets	3623.wav	accept
3625	Frag: ein Ticket für Montagabend	3625.wav	reject
3626	Frag: ein Ticket für Montagabend	3626.wav	accept
3627	Frag: 2 Tickets für König der Löwen	3627.wav	reject
3628	Frag: 2 Tickets für König der Löwen	3628.wav	reject
3629	Frag: 2 Tickets für König der Löwen	3629.wav	reject
3630	Sag: Ich möchte in der zweiten Reihe sitzen	3630.wav	reject
3631	Sag: Ich möchte in der zweiten Reihe sitzen	3631.wav	reject
3632	Sag: Ich möchte in der zweiten Reihe sitzen	3632.wav	accept
3634	Frag: 5 Tickets	3634.wav	accept
3636	Frag: Einzelzimmer	3636.wav	accept
3637	Frag: Einzelzimmer	3637.wav	accept
