Sag: Ich bin aus Frankreich	1
Frag: eine L	3
Frag: Wo ist die Hotelbar?	3
Sag: Ich möchte mit Postkarte bezahlen	5
Frag: Grösse 42	2
Frag: Karrotenkuchen	1
Sag: Ich möchte in der siebten Reihe sitzen	1
Frag: Stiefel	5
Sag: Ich möchte um 14 Uhr morgen abreisen	5
Frag: Gibt es ein Schwimmbad?	5
Frag: meinen Sonntagsbraten durchgebraten	5
Frag: Doppelzimmer	5
Frag: Wo kann ich ein Shampoo kaufen?	1
Sag: Ich möchte in der achten Reihe sitzen	2
Frag: Wo ist der Lebensmittelladen?	4
Sag: Das WC ist dreckig	2
Frag: Zimmer für 2 Nächte	3
Frag: Tickets für das Naturhistorische Museum	1
Sag: Ich möchte am Donnerstagnachmittag abreisen	1
Sag: Ich möchte am Freitagnachmittag abreisen	3
Frag: den Sonntagsbraten	3
Frag: Grösse 44	1
Sag: Im Zimmer hat es kein Duschgel	2
Frag: Wo ist das London Eye?	2
Sag: Die Hauptstadt von Italien ist Rom	1
Frag: 4 Tickets für König der Löwen	1
Sag: Ich heisse James	4
Frag: ein Ticket für Samstagabend	1
Frag: Welcher Bus fährt dorthin?	1
Sag: Die Schweiz ist nicht in Afrika	2
Sag: Ich möchte am Samstagnachmittag abreisen	3
Sag: Ich möchte am Donnerstagabend abreisen	2
Sag: Ich bin aus Irland	1
Sag: Ich habe nur grosse Noten	2
Sag: Das ist okay	1
Frag: ein Wasser mit Kohlensäure	4
Frag: ein schwarzes Sweatshirt	1
Frag: ein T-Shirt	2
Sag: Der Tower ist nahe der Tower Bridge	5
Frag: 4 Tickets für Wicked	1
Frag: Gibt es einen Coiffeur?	10
Sag: Ich möchte mit Visa bezahlen	4
Sag: Ich möchte am Freitag abreisen	1
Sag: Die Hauptstadt von Spanien ist Madrid	2
Frag: Ticket für dieses Musical	1
Sag: Mir geht es gut	3
Sag: Ich möchte am Samstagabend abreisen	1
Frag: Gibt es einen Lift?	1
Frag: eine S	4
Frag: Hosen	4
Sag: Ich bin aus Italien	2
Sag: Mein Zimmer ist dreckig	1
Frag: gelbe Hosen	1
Frag: etwas Kartoffelstock	7
Frag: 1 Musical-Ticket	2
Sag: Ich bin aus Deutschland	2
Frag: ein Ticket nach Westminster	1
Sag: Ich möchte mit Mastercard bezahlen	11
Frag: ein Ticket zum Trafalgar Square	3
Frag: einen Baked Potato	1
Frag: Grösse 43	1
Frag: 3 Tickets für König der Löwen	2
Frag: Wo ist der Haarföhn?	2
Sag: Portugal ist nicht in Afrika	1
Sag: Dies ist zu weit	9
Frag: weisse Stiefel	1
Frag: etwas Knoblauchbrot	1
Sag: Die Hose ist zu teuer	4
Frag: blaue Sandalen	1
Frag: Einzelzimmer	8
