ID	Method	Prompt	Transcript	Meaning	Original Meaning
3570	no method	Frag: Zimmer für 1 Woche	can i have a hotel room for one night	incorrect	incorrect
3571	RG	Frag: Zimmer für 1 Woche	i want a room for one week	correct	correct
3572	RG	Frag: Twinzimmer	a twin room	correct	correct
3573	RG	Sag: Ich möchte mit Kreditkarte bezahlen	can i pay by credit card	correct	correct
3574	no method	Frag: Gibt es ein Fitnessstudio?	have a fitness studio	incorrect	correct
3575	RG	Frag: 3 Musical-Tickets	i would like to buy three musical tickets	correct	correct
3576	RG	Sag: Ich möchte am Montagabend gehen	i would like to go on monday night	correct	correct
3577	RG	Sag: Ich möchte am Montagabend gehen	i would like to go on monday night	correct	correct
3579	RG	Frag: 3 Tickets für König der Löwen	i want three tickets for the lion king	correct	correct
3580	no method	Sag: Ich möchte vorne sitzen	i would like to sit in the john	incorrect	incorrect
3581	RG	Sag: Ich möchte vorne sitzen	i would like to sit in the front	correct	correct
3582	RG	Sag: Ich möchte vorne sitzen	i would like to sit in the front	correct	correct
3583	RG	Frag: Tickets für die National Gallery	i would like tickets for the national gallery	correct	correct
3584	no method	Frag: Tickets für die National Gallery	i would like i would like nationaly gal i would ah mann	incorrect	incorrect
3587	RG	Frag: ein Ticket zum Piccadilly Circus	i would like a ticket to piccadilly circus	correct	correct
3588	RG	Sag: Ich möchte mit Visa bezahlen	i would like to pay with visa	correct	correct
3589	credit card cluster	Sag: Ich möchte mit Visa bezahlen	i would like to pay be visa	correct	correct
3590	RG	Frag: ein Ticket zum Green Park	i need a ticket to green park	correct	correct
3592	credit card cluster	Sag: Ich möchte mit Visa bezahlen	i would like to bay with visa	incorrect	correct
3593	credit card cluster	Sag: Ich möchte mit Pfund bezahlen	can i pay by pound	incorrect	correct
3594	credit card cluster	Sag: Ich möchte mit Pfund bezahlen	can i pay by pound	incorrect	correct
3595	credit card cluster	Sag: Ich möchte mit Pfund bezahlen	can i pay by pounds	correct	correct
3596	RG	Frag: ein Ticket nach Notting Hill	i would like a ticket to notting hill	correct	correct
3597	RG	Sag: Ich möchte mit Mastercard bezahlen	can i i pay by mastercard	correct	correct
3598	RG	Sag: Ich möchte mit Mastercard bezahlen	can i pay by master card	correct	correct
3599	credit card cluster	Sag: Ich möchte mit Dollars bezahlen	can a pay by dollars	correct	correct
3602	RG	Frag: eine Cola	i would like a coke	correct	correct
3604	RG	Frag: ein Steak	i want a steak	correct	correct
3605	no method	Frag: mein Steak rare	like my steak rare	incorrect	correct
3606	RG	Frag: mein Steak rare	i would like my steak rare	correct	correct
3608	no method	Frag: Pilze	i would like pilz	incorrect	incorrect
3610	RG	Frag: Ich möchte die Dessertkarte	could i see the dessert menu	correct	correct
3611	RG	Sag: Mir geht es gut	i am good	correct	correct
3618	no method	Frag: 2 Tickets nach London	two ticket to london	incorrect	correct
3619	RG	Frag: 2 Tickets nach London	two tickets to london	correct	correct
3620	RG	Sag: Ich möchte um 21 Uhr morgen abreisen	i want to leave at nine o'clock tomorrow	correct	correct
3621	RG	Sag: Ich heisse James	i am james	correct	correct
3622	RG	Sag: Ich bin aus der Türkei	i am from turkey	correct	correct
3623	no method	Frag: 2 Musical-Tickets	two mitch tickets	incorrect	incorrect
3625	magic	Frag: ein Ticket für Montagabend	tickets for the monday evening	correct	incorrect
3626	no method	Frag: ein Ticket für Montagabend	tickets for the monday avenue	incorrect	incorrect
3627	magic	Frag: 2 Tickets für König der Löwen	two tickets for lion king	correct	correct
3628	no method	Frag: 2 Tickets für König der Löwen	two tickets for the ke	incorrect	incorrect
3629	no method	Frag: 2 Tickets für König der Löwen	two tickets for the king of lion	incorrect	correct
3630	no method	Sag: Ich möchte in der zweiten Reihe sitzen	i would like to sit in	incorrect	incorrect
3631	no method	Sag: Ich möchte in der zweiten Reihe sitzen	i would sit in the	incorrect	incorrect
3632	RG	Sag: Ich möchte in der zweiten Reihe sitzen	i would like to sit in the second row	correct	correct
3634	RG	Frag: 5 Tickets	five tickets	correct	correct
3636	RG	Frag: Einzelzimmer	a single room	correct	correct
3637	RG	Frag: Einzelzimmer	a single room	correct	correct
3638	RG	Frag: Einzelzimmer	a single room	correct	correct
3639	credit card cluster	Sag: Ich möchte mit Postkarte bezahlen	i would to play with my post card	correct	incorrect
3640	credit card cluster	Sag: Ich möchte mit Postkarte bezahlen	i would like to play with my post card	correct	correct
3641	credit card cluster	Sag: Ich möchte mit Postkarte bezahlen	i would like to play with	incorrect	incorrect
3642	magic	Frag: Gibt es eine Hotelbar?	is there the hotel bar	correct	correct
3643	RG	Sag: Ich heisse Nick	my name is nick	correct	correct
3644	RG	Sag: Ich bin aus Österreich	i am from austria	correct	correct
3645	magic	Sag: Die Hauptstadt von Österreich ist Wien	the capital of austria is wien	correct	correct
3647	magic	Sag: Ich habe 1 Bruder	i have a brother	correct	correct
3648	no method	Sag: Ich habe 1 Bruder	i have a brother	incorrect	correct
3649	RG	Sag: Ich habe 1 Bruder	i have one brother	correct	correct
3650	no method	Sag: Ich gehe in die Ferien	i going in the holiday	incorrect	correct
3651	RG	Sag: Dies ist mein Pass	this is my passport	correct	correct
3652	no method	Sag: Dies ist mein Pass	this is my pass	incorrect	incorrect
3654	magic	Frag: ein Ticket zum Piccadilly Circus	a ticket from piccadilly circus	correct	incorrect
3655	no method	Frag: ein Ticket zum Piccadilly Circus	like a ticket to piccadilly circus	incorrect	correct
3656	RG	Frag: ein Ticket zum Piccadilly Circus	i would like a ticket to piccadilly circus	correct	correct
3657	credit card cluster	Sag: Ich möchte mit Mastercard bezahlen	i would like to play with my master card	correct	incorrect
3658	RG	Frag: 4 Musical-Tickets	four musical tickets	correct	correct
3659	RG	Frag: 4 Musical-Tickets	four musical tickets	correct	correct
3660	RG	Frag: 4 Musical-Tickets	i would like to buy four musical tickets	correct	correct
3661	no method	Sag: Ich möchte am Freitagabend gehen	i would go by free day avenue	incorrect	incorrect
3662	no method	Sag: Ich möchte am Freitagabend gehen	i would like to go a priday night	incorrect	incorrect
3663	no method	Sag: Ich möchte am Freitagabend gehen	i would like to go on free day night	incorrect	correct
3664	magic	Frag: 4 Tickets für Wicked	i would like four tickets for the wick	correct	incorrect
3665	RG	Frag: 4 Tickets für Wicked	i want four tickets for wicked	correct	correct
3666	no method	Sag: Ich möchte in der achten Reihe sitzen	in the eight row	incorrect	correct
3667	RG	Sag: Ich möchte in der achten Reihe sitzen	i want to sit in the eighth row	correct	correct
3668	no method	Sag: Ich möchte in der achten Reihe sitzen	i want seat in the eight row	incorrect	correct
3669	RG	Frag: Tickets für das Naturhistorische Museum	i want tickets for the natural history museum	correct	correct
3670	RG	Frag: 2 Tickets	i want two tickets	correct	correct
3671	RG	Sag: Ich habe keine Reservation	i do not have a reservation	correct	correct
3673	RG	Sag: Ich habe keine Reservation	i do not have a reservation	correct	correct
3674	no method	Frag: Zimmer für 6 Nächte	can i have six rooms for six nights	incorrect	incorrect
3675	RG	Frag: Zimmer für 6 Nächte	i want a room for six nights	correct	correct
3676	RG	Frag: Doppelzimmer	i want a double room	correct	correct
3679	no method	Frag: Gibt es ein Schwimmbad?	have you a pool	incorrect	correct
3680	RG	Frag: Wo ist das Schwimmbad?	where is the pool	correct	correct
3681	RG	Frag: Zimmer für 4 Nächte	i want a room for four nights	correct	correct
3682	RG	Frag: Doppelzimmer	i want a double room	correct	correct
3683	RG	Sag: Ich möchte mit Visa bezahlen	can i pay with visa	correct	correct
3684	RG	Frag: Gibt es ein Hotelrestaurant?	is there a hotel restaurant	correct	correct
3685	RG	Frag: Wo ist das Hotelrestaurant?	where is the hotel restaurant	correct	correct
3686	RG	Sag: Ich möchte mit Visa bezahlen	can i pay with visa	correct	correct
3688	credit card cluster	Sag: Ich möchte mit Schweizer Franken bezahlen	can i pay with swiss friends	incorrect	incorrect
3689	RG	Sag: Ich habe keine Reservation	i do not have a reservation	correct	correct
3690	RG	Frag: Zimmer für 7 Nächte	i want a room for seven nights	correct	correct
3691	no method	Frag: Junior Suite	on the junior suite	incorrect	incorrect
3692	RG	Sag: Ich möchte mit Mastercard bezahlen	can i pay by mastercard	correct	correct
3693	RG	Frag: Gibt es einen Coiffeur?	is there a hairdresser	correct	correct
3694	RG	Frag: Wo ist der Coiffeur?	where is the hairdresser	correct	correct
3695	RG	Frag: 3 Tickets nach London	i would like three tickets to london	correct	correct
3696	RG	Sag: Ich möchte am Mittwochabend abreisen	i want to leave on wednesday evening	correct	correct
3697	RG	Sag: Ich heisse Sarah	my name is sarah	correct	correct
3698	RG	Sag: Ich heisse Sarah	my name is sarah	correct	correct
3700	RG	Frag: ein Ticket nach London	i want a ticket to london	correct	correct
3701	RG	Sag: Ich möchte am Sonntag abreisen	i would like to leave on sunday	correct	correct
3702	RG	Sag: Ich heisse John	my name is john	correct	correct
3703	RG	Sag: Ich bin aus Spanien	i am from spain	correct	correct
3704	RG	Sag: Ich heisse Brian	my name is brian	correct	correct
3705	RG	Sag: Ich bin aus Amerika	i am from america	correct	correct
3706	RG	Sag: Ich heisse Silvia	my name is silvia	correct	correct
3707	RG	Sag: Ich bin aus Portugal	i am from portugal	correct	correct
3708	magic	Sag: Die Hauptstadt von Portugal ist Lissabon	the capital of portugal is lisabon	correct	correct
3709	magic	Sag: Ich habe 2 jüngere Brüder	i have two young brothers	correct	incorrect
3710	no method	Sag: Ich gehe in die Ferien	i going to holidays	incorrect	incorrect
3712	RG	Sag: Dies ist mein Pass	that is my passport	correct	correct
3713	no method	Sag: Dies ist mein Pass	that is is my passport	incorrect	correct
3714	RG	Sag: Dies ist mein Pass	this is my passport	correct	correct
3716	credit card cluster	Sag: Ich möchte mit Postkarte bezahlen	i want pay	incorrect	incorrect
3717	RG	Sag: Ich möchte mit Postkarte bezahlen	i would like to pay by post card	correct	correct
3718	RG	Sag: Ich möchte mit Postkarte bezahlen	i would like to pay by post card	correct	correct
3719	RG	Frag: 2 Musical-Tickets	i want two musical tickets	correct	correct
3720	RG	Frag: 2 Tickets für Montagabend	i want two tickets for monday evening	correct	correct
3723	RG	Frag: Zimmer für 2 Nächte	a room for two nights	correct	correct
3724	RG	Frag: Zimmer für 2 Nächte	can i have a room for two nights	correct	correct
3725	RG	Frag: Einzelzimmer	a single room	correct	correct
3726	RG	Frag: Einzelzimmer	single room	correct	correct
3727	RG	Frag: Einzelzimmer	single room	correct	correct
3728	credit card cluster	Sag: Ich möchte mit Kreditkarte bezahlen	i	incorrect	incorrect
3729	credit card cluster	Sag: Ich möchte mit Kreditkarte bezahlen	ich verschtands nid	incorrect	incorrect
3730	no method	Frag: Gibt es einen Lift?	is it a lift	incorrect	incorrect
3731	RG	Frag: Wo ist der Lift?	where is the lift	correct	correct
3735	RG	Sag: Ich möchte mit Dollars bezahlen	can i pay with dollars	correct	correct
3736	RG	Frag: Zimmer für 3 Nächte	i want a room for three nights	correct	correct
3737	RG	Frag: Einzelzimmer	i want a single room	correct	correct
3738	credit card cluster	Sag: Ich möchte mit Postkarte bezahlen	i want to pay with credit card	incorrect	correct
3740	magic	Frag: Gibt es ein Fitnessstudio?	have you got a fitness studio	correct	correct
3741	RG	Frag: Gibt es ein Fitnessstudio?	is there a gym	correct	correct
3742	RG	Frag: Wo ist das Fitnessstudio?	where is the gym	correct	correct
3743	RG	Frag: ein Ticket nach London	i want a ticket to london	correct	correct
3744	RG	Sag: Ich möchte um 12 Uhr morgen abreisen	i want to leave tomorrow at noon	correct	correct
3745	RG	Sag: Ich heisse Mona	my name is mona	correct	correct
3746	RG	Sag: Ich bin aus Deutschland	i am from germany	correct	correct
3749	no method	Frag: ein Steak	single room a single r	incorrect	incorrect
3750	no method	Frag: ein Steak	i would like a steetch	incorrect	incorrect
3751	no method	Frag: ein Steak	kusvich	incorrect	incorrect
3757	no method	Frag: Wo ist der Tower?	where is the tour i am	incorrect	incorrect
3759	RG	Frag: Welcher Bus fährt dorthin?	which bus goes there	correct	correct
3761	meaning_reject	Frag: Zimmer für 6 Nächte	a dorm for six nights	incorrect	incorrect
3762	no method	Frag: Zimmer für 6 Nächte	a dorm for six nights	incorrect	incorrect
3763	RG	Frag: Zimmer für 6 Nächte	i want a room for six nights	correct	correct
3764	magic	Frag: Twinzimmer	a twin zimmer	correct	incorrect
3767	RG	Sag: Ich möchte mit Kreditkarte bezahlen	i would like to pay by credit card	correct	correct
3768	RG	Frag: Gibt es einen Lift?	is there a lift	correct	correct
3769	no method	Sag: Ich habe keine Reservation	i've no a reservation	incorrect	correct
3770	RG	Sag: Ich habe keine Reservation	i have no reservation	correct	correct
3771	RG	Sag: Ich habe keine Reservation	i have no reservation	correct	correct
3773	RG	Sag: Ich habe keine Reservation	i have not got a reservation	correct	correct
