ID	Method	Prompt	Transcript	Judgement	Original Judgement
3570	no method	Frag: Zimmer für 1 Woche	can i have a hotel room for one night	reject	reject
3571	RG	Frag: Zimmer für 1 Woche	i want a room for one week	accept	accept
3572	RG	Frag: Twinzimmer	a twin room	accept	accept
3573	RG	Sag: Ich möchte mit Kreditkarte bezahlen	can i pay by credit card	accept	accept
3574	no method	Frag: Gibt es ein Fitnessstudio?	have a fitness studio	reject	reject
3575	RG	Frag: 3 Musical-Tickets	i would like to buy three musical tickets	accept	accept
3576	RG	Sag: Ich möchte am Montagabend gehen	i would like to go on monday night	accept	accept
3577	RG	Sag: Ich möchte am Montagabend gehen	i would like to go on monday night	accept	accept
3579	RG	Frag: 3 Tickets für König der Löwen	i want three tickets for the lion king	accept	accept
3580	no method	Sag: Ich möchte vorne sitzen	i would like to sit in the john	reject	reject
3581	RG	Sag: Ich möchte vorne sitzen	i would like to sit in the front	accept	accept
3582	RG	Sag: Ich möchte vorne sitzen	i would like to sit in the front	accept	accept
3583	RG	Frag: Tickets für die National Gallery	i would like tickets for the national gallery	accept	accept
3584	no method	Frag: Tickets für die National Gallery	i would like i would like nationaly gal i would ah mann	reject	reject
3587	RG	Frag: ein Ticket zum Piccadilly Circus	i would like a ticket to piccadilly circus	accept	accept
3588	RG	Sag: Ich möchte mit Visa bezahlen	i would like to pay with visa	accept	accept
3589	credit card cluster	Sag: Ich möchte mit Visa bezahlen	i would like to pay be visa	reject	reject
3590	RG	Frag: ein Ticket zum Green Park	i need a ticket to green park	accept	accept
3592	credit card cluster	Sag: Ich möchte mit Visa bezahlen	i would like to bay with visa	reject	reject
3593	credit card cluster	Sag: Ich möchte mit Pfund bezahlen	can i pay by pound	reject	reject
3594	credit card cluster	Sag: Ich möchte mit Pfund bezahlen	can i pay by pound	reject	reject
3595	credit card cluster	Sag: Ich möchte mit Pfund bezahlen	can i pay by pounds	accept	reject
3596	RG	Frag: ein Ticket nach Notting Hill	i would like a ticket to notting hill	accept	accept
3597	RG	Sag: Ich möchte mit Mastercard bezahlen	can i i pay by mastercard	accept	accept
3598	RG	Sag: Ich möchte mit Mastercard bezahlen	can i pay by master card	accept	accept
3599	credit card cluster	Sag: Ich möchte mit Dollars bezahlen	can a pay by dollars	reject	reject
3602	RG	Frag: eine Cola	i would like a coke	accept	accept
3604	RG	Frag: ein Steak	i want a steak	accept	accept
3605	no method	Frag: mein Steak rare	like my steak rare	reject	reject
3606	RG	Frag: mein Steak rare	i would like my steak rare	accept	accept
3608	no method	Frag: Pilze	i would like pilz	reject	reject
3610	RG	Frag: Ich möchte die Dessertkarte	could i see the dessert menu	accept	accept
3611	RG	Sag: Mir geht es gut	i am good	accept	accept
3618	no method	Frag: 2 Tickets nach London	two ticket to london	reject	reject
3619	RG	Frag: 2 Tickets nach London	two tickets to london	accept	accept
3620	RG	Sag: Ich möchte um 21 Uhr morgen abreisen	i want to leave at nine o'clock tomorrow	accept	accept
3621	RG	Sag: Ich heisse James	i am james	accept	accept
3622	RG	Sag: Ich bin aus der Türkei	i am from turkey	accept	accept
3623	no method	Frag: 2 Musical-Tickets	two mitch tickets	reject	reject
3625	magic	Frag: ein Ticket für Montagabend	tickets for the monday evening	accept	reject
3626	no method	Frag: ein Ticket für Montagabend	tickets for the monday avenue	reject	reject
3627	magic	Frag: 2 Tickets für König der Löwen	two tickets for lion king	accept	reject
3628	no method	Frag: 2 Tickets für König der Löwen	two tickets for the ke	reject	reject
3629	no method	Frag: 2 Tickets für König der Löwen	two tickets for the king of lion	reject	reject
3630	no method	Sag: Ich möchte in der zweiten Reihe sitzen	i would like to sit in	reject	reject
3631	no method	Sag: Ich möchte in der zweiten Reihe sitzen	i would sit in the	reject	reject
3632	RG	Sag: Ich möchte in der zweiten Reihe sitzen	i would like to sit in the second row	accept	accept
3634	RG	Frag: 5 Tickets	five tickets	accept	accept
3636	RG	Frag: Einzelzimmer	a single room	accept	accept
3637	RG	Frag: Einzelzimmer	a single room	accept	accept
3638	RG	Frag: Einzelzimmer	a single room	accept	accept
3639	credit card cluster	Sag: Ich möchte mit Postkarte bezahlen	i would to play with my post card	reject	reject
3640	credit card cluster	Sag: Ich möchte mit Postkarte bezahlen	i would like to play with my post card	reject	reject
3641	credit card cluster	Sag: Ich möchte mit Postkarte bezahlen	i would like to play with	reject	reject
3642	magic	Frag: Gibt es eine Hotelbar?	is there the hotel bar	accept	reject
3643	RG	Sag: Ich heisse Nick	my name is nick	accept	accept
3644	RG	Sag: Ich bin aus Österreich	i am from austria	accept	accept
3645	magic	Sag: Die Hauptstadt von Österreich ist Wien	the capital of austria is wien	accept	reject
3647	magic	Sag: Ich habe 1 Bruder	i have a brother	accept	accept
3648	no method	Sag: Ich habe 1 Bruder	i have a brother	reject	accept
